17:23:31.314 [ForkJoinPool.commonPool-worker-1] INFO  org.springframework.boot.SpringApplication - Starting application on MS-20190307PPVS with PID 11424 (started by Administrator in E:\Projects\senpure-orange-prot-support)
17:23:31.323 [ForkJoinPool.commonPool-worker-1] INFO  org.springframework.boot.SpringApplication - No active profile set, falling back to default profiles: default
17:23:31.905 [ForkJoinPool.commonPool-worker-1] DEBUG de.felixroske.jfxsupport.AbstractFxmlView - AbstractFxmlView construction
17:23:31.906 [ForkJoinPool.commonPool-worker-1] DEBUG de.felixroske.jfxsupport.AbstractFxmlView - Determined fxmlPath: /com/senpure/io/generator/ui/view/main.fxml
17:23:31.908 [ForkJoinPool.commonPool-worker-1] DEBUG de.felixroske.jfxsupport.AbstractFxmlView - Annotated bundle: i18n/i18n
17:23:31.908 [ForkJoinPool.commonPool-worker-1] DEBUG de.felixroske.jfxsupport.AbstractFxmlView - Resource bundle: i18n/i18n
17:23:31.915 [ForkJoinPool.commonPool-worker-1] DEBUG de.felixroske.jfxsupport.AbstractFxmlView - AbstractFxmlView construction
17:23:31.915 [ForkJoinPool.commonPool-worker-1] DEBUG de.felixroske.jfxsupport.AbstractFxmlView - Determined fxmlPath: /com/senpure/io/generator/ui/view/animation.fxml
17:23:31.916 [ForkJoinPool.commonPool-worker-1] DEBUG de.felixroske.jfxsupport.AbstractFxmlView - Annotated bundle: i18n/i18n
17:23:31.916 [ForkJoinPool.commonPool-worker-1] DEBUG de.felixroske.jfxsupport.AbstractFxmlView - Resource bundle: i18n/i18n
17:23:31.930 [ForkJoinPool.commonPool-worker-1] INFO  com.senpure.base.util.Spring - regApplicationContext:  class org.springframework.context.annotation.AnnotationConfigApplicationContext
17:23:31.978 [ForkJoinPool.commonPool-worker-1] INFO  org.springframework.boot.SpringApplication - Started application in 1.351 seconds (JVM running for 3.06)
17:23:33.786 [JavaFX Application Thread] DEBUG com.senpure.io.generator.habit.HabitUtil - 行为配置文件路径E:\Projects\senpure-orange-prot-support\target\classes\config\habit.json
17:23:33.973 [JavaFX Application Thread] DEBUG com.senpure.io.generator.util.TemplateUtil - 模板文件路径E:\Projects\senpure-orange-prot-support\target\classes\template
17:23:39.539 [JavaFX Application Thread] INFO  com.senpure.io.generator.ui.view.MainController - 增加协议文件
17:23:59.918 [JavaFX Application Thread] INFO  com.senpure.io.generator.ui.view.MainController - 文件全路径:E:\BaoZou\Plan\5.通信协议\AchievementPort7200.prot
17:23:59.918 [JavaFX Application Thread] INFO  com.senpure.io.generator.ui.view.MainController - 文件全路径:E:\BaoZou\Plan\5.通信协议\BroadcastPort30000.prot
17:23:59.919 [JavaFX Application Thread] INFO  com.senpure.io.generator.ui.view.MainController - 文件全路径:E:\BaoZou\Plan\5.通信协议\FightPort6000.prot
17:23:59.919 [JavaFX Application Thread] INFO  com.senpure.io.generator.ui.view.MainController - 文件全路径:E:\BaoZou\Plan\5.通信协议\Repeat.prot
17:24:02.150 [JavaFX Application Thread] INFO  com.senpure.io.generator.ui.view.MainController - 正在准备数据
17:24:02.380 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int32', name='serverId', baseField=true, list=false, capacity=16}
17:24:02.381 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int32', name='serverAreaId', baseField=true, list=false, capacity=16}
17:24:02.381 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='string', name='serverName', baseField=true, list=false, capacity=16}
17:24:02.381 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='毫秒', fieldType='int64', name='serverOpenTime', baseField=true, list=false, capacity=16}
17:24:02.381 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=true, explain='毫秒', fieldType='int64', name='serverTime', baseField=true, list=false, capacity=16}
17:24:02.382 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int64', name='id', baseField=true, list=false, capacity=16}
17:24:02.382 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='string', name='name', baseField=true, list=false, capacity=16}
17:24:02.382 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='string', name='userId', baseField=true, list=false, capacity=16}
17:24:02.382 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='string', name='userName', baseField=true, list=false, capacity=16}
17:24:02.382 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int64', name='money', baseField=true, list=false, capacity=16}
17:24:02.382 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int32', name='gold', baseField=true, list=false, capacity=16}
17:24:02.382 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int32', name='vipLv', baseField=true, list=false, capacity=16}
17:24:02.383 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int32', name='vipExp', baseField=true, list=false, capacity=16}
17:24:02.383 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int32', name='level', baseField=true, list=false, capacity=16}
17:24:02.383 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int32', name='exp', baseField=true, list=false, capacity=16}
17:24:02.383 [pool-3-thread-1] DEBUG com.senpure.io.orange.reader.PortProtocolReader - NA PlayerBytesWriteFore Field{hasExplain=false, explain='null', fieldType='int32', name='neiGongLevel', baseField=true, list=false, capacity=16}
